"Kod","Xodim","Role","Brend","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","Foto kamligi","Sababli","Shtraf","Ish kuni"
"JYQSH006","Unknown route","unknown","sof","","","","26","23","33","","24","23","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYSAM003","Unknown route","unknown","sof","","","","41","39","36","","42","52","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYSAM004","Unknown route","unknown","sof","","","","26","36","29","","35","40","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYSAM005","Unknown route","unknown","sof","","","","21","23","22","","21","22","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYSAM006","Unknown route","unknown","sof","","","","25","31","27","","26","25","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYSAM007","Unknown route","unknown","sof","","","","26","26","28","","22","25","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYSAM008","Unknown route","unknown","sof","","","","25","33","23","","23","24","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTO002","Unknown route","unknown","sof","","","","21","25","24","","34","27","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTO003","Unknown route","unknown","sof","","","","22","0","0","","1","0","","","","","","","","","","","","","","","","","","","","","","4","0","1","1"
"JYTO004","Unknown route","unknown","sof","","","","20","20","20","","20","20","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTO005","Unknown route","unknown","sof","","","","24","23","24","","21","22","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTSH002","Unknown route","unknown","sof","","","","22","21","21","","30","25","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTSH003","Unknown route","unknown","sof","","","","0","0","0","","26","6","","","","","","","","","","","","","","","","","","","","","","4","0","1","1"
"JYTSH004","Unknown route","unknown","sof","","","","20","21","21","","26","21","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTSH005","Unknown route","unknown","sof","","","","21","20","21","","23","23","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTZ004","Unknown route","unknown","sof","","","","32","26","24","","31","24","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTZ005","Unknown route","unknown","sof","","","","34","23","20","","21","20","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTZ006","Unknown route","unknown","sof","","","","36","33","27","","24","26","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTZ007","Unknown route","unknown","sof","","","","20","20","26","","21","20","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTZ008","Unknown route","unknown","sof","","","","31","27","31","","30","23","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYTZ009","Unknown route","unknown","sof","","","","25","25","23","","27","26","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYXM002","Unknown route","unknown","sof","","","","27","28","24","","25","24","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYXM003","Unknown route","unknown","sof","","","","33","25","27","","25","24","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYXM004","Unknown route","unknown","sof","","","","25","26","26","","42","28","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYXM005","Unknown route","unknown","sof","","","","25","25","25","","36","23","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYXM006","Unknown route","unknown","sof","","","","25","27","25","","26","26","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYXM007","Unknown route","unknown","sof","","","","28","26","27","","27","26","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
